city,zone_raw,zone_normalized_key,property_code,property_ref,property_title,price,metros_construidos,price_m2,tipo_ofer,estado,agente,comercial_id,fecha_alta,fecha_actualizacion,num_fotos,main_photo_url,portal_name,portal_url
Córdoba,Andalucia,andalucia,27902283,URUS01VFEDE,ESPECTACULAR CASA EN LA VICTORIA,130000,126,1032,Adosado,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2026-02-07 06:06:08,2026-02-25 14:33:40,35,https://fotos15.apinmo.com/11636/27902283/2-1s.jpg,idealista,https://www.idealista.com/inmueble/110611793
Córdoba,Andalucia,andalucia,28782085,URUS115VMA,Casa adosada en venta en San Sebastián de los Reyes,140000,111,1261,Adosado,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-04-15 10:29:49,2026-04-15 10:36:17,27,https://fotos15.apinmo.com/11636/28782085/2-1s.jpg,idealista,https://www.idealista.com/inmueble/111195935
Córdoba,Arroyo del Moro,arroyo del moro,28888135,URUS120VMA,Piso exclusivo con vistas panorámicas a la Sierra de Córdoba,190000,66,2879,Piso,Libre,Miguel,cmo66hbga0000l20439ecarhl,2026-04-24 18:56:03,2026-05-06 15:02:44,25,https://fotos15.apinmo.com/11636/28888135/3-1s.jpg,,
Córdoba,Av. Barcelona - Viñuela - Rescatado,av barcelona - vinuela - rescatado,28013292,URUS02VFEDE,Oportunidad de inversión! Local comercial de 60m2 con potencial para cambio de uso o negocio,65000,60,1083,Local comercial,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2026-02-12 18:33:05,2026-03-30 17:44:57,12,https://fotos15.apinmo.com/11636/28013292/2-1s.jpg,idealista,https://www.idealista.com/inmueble/110622191
Córdoba,Av. Barcelona - Viñuela - Rescatado,av barcelona - vinuela - rescatado,28147546,URUS05VFEDE,Piso en Ronda de la Manca – Zona Casco Histórico – Corredera – Ribera (Córdoba),220000,115,1913,Piso,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2026-02-22 18:57:01,2026-05-04 17:01:57,24,https://fotos15.apinmo.com/11636/28147546/6-1s.jpg,idealista,https://www.idealista.com/inmueble/110747386
Córdoba,Av. Barcelona - Viñuela - Rescatado,av barcelona - vinuela - rescatado,28782318,URUS116VMA,Piso en venta en Plaza de la Oca,165000,70,2357,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-04-15 10:51:08,2026-04-15 15:42:28,23,https://fotos15.apinmo.com/11636/28782318/2-1s.jpg,idealista,https://www.idealista.com/inmueble/111196201
Córdoba,Av. Barcelona - Viñuela - Rescatado,av barcelona - vinuela - rescatado,28887988,URUS119VMA,"Piso reformado, luminoso y con gran rentabilidad junto a la Universidad de Derecho",150000,80,1875,Piso,Libre,Miguel,cmo66hbga0000l20439ecarhl,2026-04-24 18:44:47,2026-05-13 19:14:12,20,https://fotos15.apinmo.com/11636/28887988/3-1s.jpg,,
Córdoba,Av. Barcelona - Viñuela - Rescatado,av barcelona - vinuela - rescatado,29165895,URUS121VMA,Ático reformado con terraza y chimenea ecológica en La Viñuela,165000,110,1500,Ático,Libre,Miguel,cmo66hbga0000l20439ecarhl,2026-05-18 14:43:13,2026-05-20 11:29:35,8,https://fotos15.apinmo.com/11636/29165895/3-1s.jpg,,
Córdoba,Barrio del Naranjo,barrio del naranjo,27702209,URUS101VMA,,229000,95,2411,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-01-21 09:13:33,2026-02-10 15:14:43,21,https://fotos15.apinmo.com/11636/27702209/2-1s.jpg,idealista,https://www.idealista.com/inmueble/110379837
Córdoba,Brillante,brillante,27192747,URUS86VMA,Un Hogar para Sentir la Naturaleza: Elegancia y Calidez en el Brillante,1200000,586,2048,Chalet,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-11-14 09:48:36,2026-02-11 09:09:03,77,https://fotos15.apinmo.com/11636/27192747/3-1s.jpg,idealista,https://www.idealista.com/inmueble/109863384
Córdoba,Campo de la Verdad Zona Alta,campo de la verdad zona alta,28208731,URUS08VFEDE,Piso en Calle Marbella – Córdoba,72500,54,1343,Piso,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2026-02-26 16:05:17,2026-04-14 17:48:10,18,https://fotos15.apinmo.com/11636/28208731/3-1s.jpg,idealista,https://www.idealista.com/inmueble/110755087
Córdoba,Campo de la Verdad Zona Baja,campo de la verdad zona baja,28729610,URUS114VMA,Vivir en la Ribera de Córdoba – Ubicación única con esencia histórica,160000,61,2623,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-04-08 03:26:21,2026-04-29 00:29:29,23,https://fotos15.apinmo.com/11636/28729610/2-1s.jpg,idealista,https://www.idealista.com/inmueble/111128735
Córdoba,Casco Antiguo,casco antiguo,27274997,URUS90VMA,"Estudio con dos dormitorios en pleno Casco Antiguo, junto a la Plaza de la Corredera",86000,45,1911,Estudio,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-11-21 20:00:03,2026-04-29 19:04:31,17,https://fotos15.apinmo.com/11636/27274997/3-1s.jpg,idealista,https://www.idealista.com/inmueble/109936967
Córdoba,Casco Antiguo,casco antiguo,28184163,URUS109VMA,Piso Bajo en Zona Las Abejas – Casco Antiguo (Córdoba),205000,119,1723,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-02-24 19:38:57,2026-04-21 12:54:51,30,https://fotos15.apinmo.com/11636/28184163/2-1s.jpg,idealista,https://www.idealista.com/inmueble/110734411
Córdoba,Centro,centro,27400456,URUS31VFJ,"Oportunidad Única! Piso de 3 Dormitorios en Córdoba Centro con Ascensor, Garaje y trastero",195000,101,1931,Piso,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2025-12-04 23:34:04,2026-04-29 00:29:36,28,https://fotos15.apinmo.com/11636/27400456/3-1s.jpg,idealista,https://www.idealista.com/inmueble/110059157
Córdoba,Centro,centro,28729588,URUS113VMA,Vive en el corazón de Córdoba – Ubicación inmejorable en pleno centro,178000,70,2543,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-04-08 03:16:58,2026-05-04 12:07:35,16,https://fotos15.apinmo.com/11636/28729588/1-1s.jpg,idealista,https://www.idealista.com/inmueble/111129045
Córdoba,Ciudad Jardín,ciudad jardin,26178808,URUS72VMA,ESPECTACULAR VIVIENDA REFORMADA EN PLENO CORAZÓN DE CIUDAD JARDÍN ( dispone de licencia turística en vigor ),220000,100,2200,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-07-23 23:22:46,2026-04-29 00:29:44,32,https://fotos15.apinmo.com/11636/26178808/2-1s.jpg,idealista,https://www.idealista.com/inmueble/108847931
Córdoba,Ciudad Jardín,ciudad jardin,27670857,URUS100VMA,OPORTUNIDAD ÚNICA DE INVERSIÓN – NUDA PROPIEDAD A 10 AÑOS,265000,139,1906,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-01-16 14:25:40,2026-03-12 15:22:39,17,https://fotos15.apinmo.com/11636/27670857/4-1s.jpg,idealista,https://www.idealista.com/inmueble/110335525
Córdoba,El Higuerón,el higueron,28147524,URUS04VFEDE,Casa independiente en La Gorgoja (Córdoba),495000,472,1049,Casa,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2026-02-22 17:35:39,2026-02-22 18:44:52,60,https://fotos15.apinmo.com/11636/28147524/3-1s.jpg,idealista,https://www.idealista.com/inmueble/110710489
Córdoba,El Patriarca,el patriarca,28537505,URUS110VMA,Exclusivo chalet adosado en El Patriarca – Ubicación privilegiada junto a La Salle,600000,290,2069,Adosado,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-03-18 16:45:00,2026-03-18 16:47:11,16,https://fotos15.apinmo.com/11636/28537505/4-1s.jpg,idealista,https://www.idealista.com/inmueble/110954018
Córdoba,El Tablero,el tablero,24620415,URUSV56MA,"Espectacular chalet reformado en Córdoba, listo para entrar a vivir",780000,402,1940,Pareado,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-04-22 10:13:00,2026-02-12 11:32:56,50,https://fotos15.apinmo.com/11636/24620415/3-1s.jpg,idealista,https://www.idealista.com/inmueble/107974721
Córdoba,Fuensanta - Arcángel - Santuario,fuensanta - arcangel - santuario,28582189,URUS09VFEDE,Increíble oportunidad de vivienda en el Arcángel,210000,80,2625,Piso,Libre,FEDE,cmo64hahb0000kw04q8aswsm4,2026-03-24 13:19:17,2026-04-29 18:46:06,31,https://fotos15.apinmo.com/11636/28582189/2-1s.jpg,idealista,https://www.idealista.com/inmueble/111005628
Córdoba,Las lomas,las lomas,23192535,URUS36VMA,"Exclusiva Casa independiente con jardín, piscina y huerto en La Carlota, Córdoba",275000,155,1774,Chalet,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2024-11-25 14:04:56,2026-04-14 16:37:45,57,https://fotos15.apinmo.com/11636/23192535/4-1s.jpg,idealista,https://www.idealista.com/inmueble/106651242
Córdoba,Levante,levante,26826148,URUS81VMA,Vivienda en Oferta al Alza – Solo 15 Días para Participar,155000,121,1281,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-10-09 12:41:33,2026-02-11 09:09:35,22,https://fotos15.apinmo.com/11636/26826148/4-1s.jpg,,
Córdoba,Medina Azahara,medina azahara,27269253,URUS89VMA,,17000,13,1308,Parking,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-11-21 11:11:07,2026-02-10 15:17:50,5,https://fotos15.apinmo.com/11636/27269253/2-1s.jpg,idealista,https://www.idealista.com/inmueble/109930168
Córdoba,Parque Cruz Conde,parque cruz conde,27667142,URUS99VMA,,250000,110,2273,Piso,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-01-16 10:39:26,2026-05-11 19:36:15,28,https://fotos15.apinmo.com/11636/27667142/2-1s.jpg,idealista,https://www.idealista.com/inmueble/110331269
Córdoba,Santa Rosa,santa rosa,27811547,URUS103VMA,,240000,314,764,Casa,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2026-01-28 21:27:58,2026-04-09 21:00:05,51,https://fotos15.apinmo.com/11636/27811547/2-1s.jpg,idealista,https://www.idealista.com/inmueble/110475406
Córdoba,Santa Rosa,santa rosa,28844113,URUS118VMA,"Piso en venta en Valdeolleros, junto a Avenida de Almogávares",147000,64,2297,Piso,Libre,Miguel,cmo66hbga0000l20439ecarhl,2026-04-22 13:07:13,2026-04-23 16:56:11,24,https://fotos15.apinmo.com/11636/28844113/3-1s.jpg,,
Córdoba,Tablero,tablero,27078783,URUS83VMA,,560000,300,1867,Chalet,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-11-03 11:43:44,2025-11-03 11:47:52,37,https://fotos15.apinmo.com/11636/27078783/3-1s.jpg,idealista,https://www.idealista.com/inmueble/109748252
Córdoba,Villarrubia,villarrubia,24771908,URUSV57MA,,245000,216,1134,Pareado,Libre,Miguel Angel Carrillo Ramos,cmo66hbga0000l20439ecarhl,2025-05-02 15:11:26,2026-02-15 22:05:15,46,https://fotos15.apinmo.com/11636/24771908/5-1s.jpg,idealista,https://www.idealista.com/inmueble/108062216
